Epi_week,Category,Incidence
2014_01,Brazil,0
2014_01,Amazonas,0
2014_01,Manaus,0
2014_02,Brazil,0
2014_02,Amazonas,0
2014_02,Manaus,0
2014_03,Brazil,0
2014_03,Amazonas,0
2014_03,Manaus,0
2014_04,Brazil,0
2014_04,Amazonas,0
2014_04,Manaus,0
2014_05,Brazil,0
2014_05,Amazonas,0
2014_05,Manaus,0
2014_06,Brazil,0
2014_06,Amazonas,0
2014_06,Manaus,0
2014_07,Brazil,0
2014_07,Amazonas,0
2014_07,Manaus,0
2014_08,Brazil,0
2014_08,Amazonas,0
2014_08,Manaus,0
2014_09,Brazil,0
2014_09,Amazonas,0
2014_09,Manaus,0
2014_10,Brazil,0
2014_10,Amazonas,0
2014_10,Manaus,0
2014_11,Brazil,0
2014_11,Amazonas,0
2014_11,Manaus,0
2014_12,Brazil,0
2014_12,Amazonas,0
2014_12,Manaus,0
2014_13,Brazil,0
2014_13,Amazonas,0
2014_13,Manaus,0
2014_14,Brazil,0
2014_14,Amazonas,0
2014_14,Manaus,0
2014_15,Brazil,0
2014_15,Amazonas,0
2014_15,Manaus,0
2014_16,Brazil,0
2014_16,Amazonas,0
2014_16,Manaus,0
2014_17,Brazil,0
2014_17,Amazonas,0
2014_17,Manaus,0
2014_18,Brazil,0
2014_18,Amazonas,0
2014_18,Manaus,0
2014_19,Brazil,0
2014_19,Amazonas,0
2014_19,Manaus,0
2014_20,Brazil,0
2014_20,Amazonas,0
2014_20,Manaus,0
2014_21,Brazil,0
2014_21,Amazonas,0
2014_21,Manaus,0
2014_22,Brazil,0
2014_22,Amazonas,0
2014_22,Manaus,0
2014_23,Brazil,0
2014_23,Amazonas,0
2014_23,Manaus,0
2014_24,Brazil,0
2014_24,Amazonas,0
2014_24,Manaus,0
2014_25,Brazil,0
2014_25,Amazonas,0
2014_25,Manaus,0
2014_26,Brazil,0
2014_26,Amazonas,0
2014_26,Manaus,0
2014_27,Brazil,0
2014_27,Amazonas,0
2014_27,Manaus,0
2014_28,Brazil,0
2014_28,Amazonas,0
2014_28,Manaus,0
2014_29,Brazil,0
2014_29,Amazonas,0
2014_29,Manaus,0
2014_30,Brazil,0
2014_30,Amazonas,0
2014_30,Manaus,0
2014_31,Brazil,0
2014_31,Amazonas,0
2014_31,Manaus,0
2014_32,Brazil,0
2014_32,Amazonas,0
2014_32,Manaus,0
2014_33,Brazil,0
2014_33,Amazonas,0
2014_33,Manaus,0
2014_34,Brazil,0
2014_34,Amazonas,0
2014_34,Manaus,0
2014_35,Brazil,0
2014_35,Amazonas,0
2014_35,Manaus,0
2014_36,Brazil,0
2014_36,Amazonas,0
2014_36,Manaus,0
2014_37,Brazil,0
2014_37,Amazonas,0
2014_37,Manaus,0
2014_38,Brazil,0
2014_38,Amazonas,0
2014_38,Manaus,0
2014_39,Brazil,0
2014_39,Amazonas,0
2014_39,Manaus,0
2014_40,Brazil,0
2014_40,Amazonas,0
2014_40,Manaus,0
2014_41,Brazil,0
2014_41,Amazonas,0
2014_41,Manaus,0
2014_42,Brazil,0
2014_42,Amazonas,0
2014_42,Manaus,0
2014_43,Brazil,0
2014_43,Amazonas,0
2014_43,Manaus,0
2014_44,Brazil,0
2014_44,Amazonas,0
2014_44,Manaus,0
2014_45,Brazil,0.00098483
2014_45,Amazonas,0.025370324
2014_45,Manaus,0.048456914
2014_46,Brazil,0
2014_46,Amazonas,0
2014_46,Manaus,0
2014_47,Brazil,0
2014_47,Amazonas,0
2014_47,Manaus,0
