"","Decade","Country","Freq"
"1",1960,"Brazil",3
"2",1960,"French Guiana",0
"3",1960,"Panama",0
"4",1960,"Peru",0
"5",1970,"Brazil",4
"6",1970,"French Guiana",0
"7",1970,"Panama",0
"8",1970,"Peru",0
"9",1980,"Brazil",3
"10",1980,"French Guiana",0
"11",1980,"Panama",1
"12",1980,"Peru",0
"13",1990,"Brazil",4
"14",1990,"French Guiana",0
"15",1990,"Panama",0
"16",1990,"Peru",2
"17",2000,"Brazil",4
"18",2000,"French Guiana",0
"19",2000,"Panama",0
"20",2000,"Peru",6
"21",2010,"Brazil",1
"22",2010,"French Guiana",0
"23",2010,"Panama",0
"24",2010,"Peru",3
"25",2020,"Brazil",0
"26",2020,"French Guiana",1
"27",2020,"Panama",0
"28",2020,"Peru",0
