date,median,mean_7
1/1/14,0.223723604,NA
1/2/14,0.40434883,NA
1/3/14,0.578409681,NA
1/4/14,0.291308107,NA
1/5/14,0.866537911,NA
1/6/14,3.972379596,NA
1/7/14,5.036889396,2.097773513
1/8/14,7.258823995,3.708134851
1/9/14,5.267139776,4.651731612
1/10/14,2.476126707,4.937824574
1/11/14,2.765762761,5.330631186
1/12/14,1.561340726,5.423247997
1/13/14,8.446958258,6.985707428
1/14/14,3.101994529,6.532717986
1/15/14,1.570854473,5.09383205
1/16/14,2.7401584,4.486749919
1/17/14,1.346643091,4.301689112
1/18/14,4.255888763,4.575927878
1/19/14,6.518650946,5.617646646
1/20/14,1.366206498,3.584659649
1/21/14,0.538375776,3.163150817
1/22/14,0.140939446,2.978863473
1/23/14,0.740304282,2.683547669
1/24/14,1.982074279,2.774921985
1/25/14,1.224797767,2.227532607
1/26/14,3.121343692,1.455366545
1/27/14,2.109534636,1.562161826
1/28/14,3.098111807,1.968602965
1/29/14,5.567941242,3.016629025
1/30/14,0.650655982,3.002546901
1/31/14,1.29203807,2.903458952
2/1/14,4.302482051,3.491373231
2/2/14,2.605694428,3.398622835
2/3/14,0.851448406,3.223619753
2/4/14,3.201409282,3.257430347
2/5/14,3.846371701,2.84104197
2/6/14,2.224244612,3.065607325
2/7/14,5.443156868,3.941828363
2/8/14,4.698727485,4.079855818
2/9/14,3.970647528,4.353908046
2/10/14,4.256484012,5.014957645
2/11/14,7.449178999,6.275780725
2/12/14,6.451710859,6.931538248
2/13/14,2.68335684,7.015013801
2/14/14,4.555834808,6.781886415
2/15/14,7.538449316,7.648710898
2/16/14,9.401989486,9.325763429
2/17/14,2.361154932,8.88737586
2/18/14,4.087696744,7.804772887
2/19/14,2.745857821,6.889406156
2/20/14,2.619377231,6.86512252
2/21/14,6.703606895,7.452919977
2/22/14,3.84330653,6.35063599
2/23/14,5.75932396,5.141580441
2/24/14,4.58691168,5.629083504
2/25/14,4.044688512,5.610386401
